project_id,event_sequence,event_date,event_type,stage,event_id,notification_number,status,amount_rs,days_since_previous_event
54635,1,2016-12-20,SANCTION,PROJECT_SANCTION,57-ORS-2016-17-590 57-ORS-2016-17-५९०,,SANCTIONED,25000000.0,
54635,2,2017-05-17,NOTIFICATION,3A_PRELIMINARY_NOTIFICATION,50840,1405,3a Notified,,148
54635,3,2017-09-18,NOTIFICATION,3A_DECLARATION,44531,2685,3A Notified,,124
54635,4,2017-11-17,NOTIFICATION,3A_DECLARATION,45887,3173,3A Notified,,60
54635,5,2018-05-17,NOTIFICATION,3A_PRELIMINARY_NOTIFICATION,52358,1405,3a Notified,,181
54635,6,2018-09-28,NOTIFICATION,3D_DECLARATION,34193,S.O. 5048 (E),3D Notified,,134
54635,7,2018-11-15,NOTIFICATION,3D_DECLARATION,35100,S.O. 5781 (E),3D Notified,,48
54635,8,2021-09-15,NOTIFICATION,3A_PRELIMINARY_NOTIFICATION,58267,3761(E),3a Notified,,1035
54635,9,2021-11-15,NOTIFICATION,3A_DECLARATION,56691,4732(E),3A Notified,,61
54635,10,2022-03-24,NOTIFICATION,3D_DECLARATION,44312,1306(E),3D Notified,,129
54635,11,2023-01-18,SANCTION,PROJECT_SANCTION,NH-57-OD-2022-23-659 NH-57-OD-2022-23-659,,SANCTIONED,532468900.0,300
