project_id,notification_id,notification_number,tentative_publish_date,serial_number,district,sub_district,village,survey_number,survey_number_raw,area_hectares,area_raw,land_type,land_nature,land_category,description_raw,party_count,owner_count,affected_party_count,total_party_area_hectares
61053,54973,2331,14/06/2024,1,GOPALGANJ,Bhorey,Malchaur,1,1 1,0.024,0.024 Hectares,Wet,Government,Rural,"Land Type: ""Wet"" Land Nature: ""Government"" Land Category: ""Rural""",1,1,0,0.024
61053,54973,2331,14/06/2024,2,GOPALGANJ,Bhorey,Malchaur,2,2 2,0.094,0.094 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.094
61053,54973,2331,14/06/2024,3,GOPALGANJ,Bhorey,Malchaur,218,218 218,0.057,0.057 Hectares,Wet,Government,Rural,"Land Type: ""Wet"" Land Nature: ""Government"" Land Category: ""Rural""",1,1,0,0.057
61053,54973,2331,14/06/2024,4,GOPALGANJ,Bhorey,Rudalpur,1359,1359 1359,0.0667,0.0667 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.0667
61053,54973,2331,14/06/2024,5,GOPALGANJ,Bhorey,Rudalpur,1360,1360 1360,0.0891,0.0891 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.0891
61053,54973,2331,14/06/2024,6,GOPALGANJ,Bhorey,Rudalpur,1361,1361 1361,0.0415,0.0415 Hectares,Wet,Government,Rural,"Land Type: ""Wet"" Land Nature: ""Government"" Land Category: ""Rural""",1,1,0,0.0415
61053,54973,2331,14/06/2024,7,GOPALGANJ,Bhorey,Rudalpur,1344,1344 1344,0.0183,0.0183 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",2,1,1,0.0183
61053,54973,2331,14/06/2024,8,GOPALGANJ,Bhorey,Rudalpur,1343,1343 1343,0.0972,0.0972 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.0972
61053,54973,2331,14/06/2024,9,GOPALGANJ,Bhorey,Rudalpur,1342,1342 1342,0.1427,0.1427 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.1427
61053,54973,2331,14/06/2024,10,GOPALGANJ,Bhorey,Rudalpur,1341,1341 1341,0.2317,0.2317 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.2317
61053,54973,2331,14/06/2024,11,GOPALGANJ,Bhorey,Rudalpur,1340,1340 1340,0.2182,0.2182 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.2182
61053,54973,2331,14/06/2024,12,GOPALGANJ,Bhorey,Bhanpur,254,254 254,0.06,0.06 Hectares,Wet,Government,Rural,"Land Type: ""Wet"" Land Nature: ""Government"" Land Category: ""Rural""",1,1,0,0.06
61053,54973,2331,14/06/2024,13,GOPALGANJ,Bhorey,Bhanpur,493,493 493,0.064,0.064 Hectares,Wet,Government,Rural,"Land Type: ""Wet"" Land Nature: ""Government"" Land Category: ""Rural""",1,1,0,0.064
61053,54973,2331,14/06/2024,14,GOPALGANJ,Bhorey,Bhanpur,492,492 492,0.074,0.074 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.074
61053,54973,2331,14/06/2024,15,GOPALGANJ,Bhorey,Bhanpur,257,257 257,0.01,0.01 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.01
61053,54973,2331,14/06/2024,16,GOPALGANJ,Bhorey,Bhanpur,258,258 258,0.066,0.066 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.066
61053,54973,2331,14/06/2024,17,GOPALGANJ,Bhorey,Bhanpur,494,494 494,0.098,0.098 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.098
61053,54973,2331,14/06/2024,18,GOPALGANJ,Bhorey,Bhanpur,498,498 498,0.002,0.002 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.002
61053,54973,2331,14/06/2024,19,GOPALGANJ,Bhorey,Bhanpur,491,491 491,0.1,0.1 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.1
61053,54973,2331,14/06/2024,20,GOPALGANJ,Bhorey,Bhanpur,490,490 490,0.425,0.425 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",2,2,0,0.6113999999999999
61053,54973,2331,14/06/2024,21,GOPALGANJ,Bhorey,Bhanpur,265,265 265,0.006,0.006 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.006
61053,54973,2331,14/06/2024,22,GOPALGANJ,Bhorey,Bhanpur,264,264 264,0.001,0.001 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.001
61053,54973,2331,14/06/2024,23,GOPALGANJ,Bhorey,Bhanpur,483,483 483,0.18,0.18 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.18
61053,54973,2331,14/06/2024,24,GOPALGANJ,Bhorey,Bhanpur,484,484 484,0.003,0.003 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.003
61053,54973,2331,14/06/2024,25,GOPALGANJ,Bhorey,Bhanpur,482,482 482,0.245,0.245 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.245
61053,54973,2331,14/06/2024,26,GOPALGANJ,Bhorey,Bhanpur,534,534 534,0.108,0.108 Hectares,Wet,Government,Rural,"Land Type: ""Wet"" Land Nature: ""Government"" Land Category: ""Rural""",1,1,0,0.108
61053,54973,2331,14/06/2024,27,GOPALGANJ,Bhorey,Bhanpur,535,535 535,0.0243,0.0243 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.0243
61053,54973,2331,14/06/2024,28,GOPALGANJ,Bhorey,Bhanpur,536,536 536,0.0243,0.0243 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.0243
61053,54973,2331,14/06/2024,29,GOPALGANJ,Bhorey,Bhanpur,537,537 537,0.004,0.004 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.004
61053,54973,2331,14/06/2024,30,GOPALGANJ,Bhorey,Bhanpur,538,538 538,0.034,0.034 Hectares,Wet,Government,Rural,"Land Type: ""Wet"" Land Nature: ""Government"" Land Category: ""Rural""",1,1,0,0.034
61053,54973,2331,14/06/2024,31,GOPALGANJ,Bhorey,Bhanpur,540,540 540,0.0365,0.0365 Hectares,Wet,Government,Rural,"Land Type: ""Wet"" Land Nature: ""Government"" Land Category: ""Rural""",1,1,0,0.0365
61053,54973,2331,14/06/2024,32,GOPALGANJ,Bhorey,Bhanpur,539,539 539,0.027,0.027 Hectares,Wet,Government,Rural,"Land Type: ""Wet"" Land Nature: ""Government"" Land Category: ""Rural""",1,1,0,0.027
61053,54973,2331,14/06/2024,33,GOPALGANJ,Bhorey,Bhanpur,550,550 550,0.019,0.019 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.019
61053,54973,2331,14/06/2024,34,GOPALGANJ,Bhorey,Bhanpur,549,549 549,0.125,0.125 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.125
61053,54973,2331,14/06/2024,35,GOPALGANJ,Bhorey,Bhanpur,545,545 545,0.014,0.014 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.014
61053,54973,2331,14/06/2024,36,GOPALGANJ,Bhorey,Bhanpur,546,546 546,0.011,0.011 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",2,1,1,0.011
61053,54973,2331,14/06/2024,37,GOPALGANJ,Bhorey,Bhanpur,548,548 548,0.0365,0.0365 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.0365
61053,54973,2331,14/06/2024,38,GOPALGANJ,Bhorey,Bhanpur,547,547 547,0.016,0.016 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.016
61053,54973,2331,14/06/2024,39,GOPALGANJ,Bhorey,Bhanpur,551,551 551,0.259,0.259 Hectares,Wet,Government,Rural,"Land Type: ""Wet"" Land Nature: ""Government"" Land Category: ""Rural""",1,1,0,0.259
61053,54973,2331,14/06/2024,40,GOPALGANJ,Bhorey,Bhanpur,552,552 552,0.0488,0.0488 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.0446
61053,54973,2331,14/06/2024,41,GOPALGANJ,Bhorey,Bhanpur,553,553 553,0.017,0.017 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.017
61053,54973,2331,14/06/2024,42,GOPALGANJ,Bhorey,Misrauliya,292/343,292/343 292/343,0.04,0.04 Hectares,Wet,Government,Rural,"Land Type: ""Wet"" Land Nature: ""Government"" Land Category: ""Rural""",1,1,0,0.04
61053,54973,2331,14/06/2024,43,GOPALGANJ,Bhorey,Misrauliya,274,274 274,0.002,0.002 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.002
61053,54973,2331,14/06/2024,44,GOPALGANJ,Bhorey,Misrauliya,274/347,274/347 274/347,0.104,0.104 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.104
61053,54973,2331,14/06/2024,45,GOPALGANJ,Bhorey,Misrauliya,243,243 243,0.039,0.039 Hectares,Wet,Government,Rural,"Land Type: ""Wet"" Land Nature: ""Government"" Land Category: ""Rural""",1,1,0,0.039
61053,54973,2331,14/06/2024,46,GOPALGANJ,Bhorey,Misrauliya,275,275 275,0.078,0.078 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",2,1,1,0.078
61053,54973,2331,14/06/2024,47,GOPALGANJ,Bhorey,Misrauliya,232,232 232,0.002,0.002 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.002
61053,54973,2331,14/06/2024,48,GOPALGANJ,Bhorey,Misrauliya,276,276 276,0.032,0.032 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.032
61053,54973,2331,14/06/2024,49,GOPALGANJ,Bhorey,Misrauliya,277,277 277,0.085,0.085 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.085
61053,54973,2331,14/06/2024,50,GOPALGANJ,Bhorey,Misrauliya,280,280 280,0.046,0.046 Hectares,Wet,Government,Rural,"Land Type: ""Wet"" Land Nature: ""Government"" Land Category: ""Rural""",1,1,0,0.046
61053,54973,2331,14/06/2024,51,GOPALGANJ,Bhorey,Misrauliya,279/348,279/348 279/348,0.036,0.036 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.036
61053,54973,2331,14/06/2024,52,GOPALGANJ,Bhorey,Misrauliya,278,278 278,0.094,0.094 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.094
61053,54973,2331,14/06/2024,53,GOPALGANJ,Bhorey,Misrauliya,279,279 279,0.005,0.005 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.005
61053,54973,2331,14/06/2024,54,GOPALGANJ,Bhorey,Misrauliya,282,282 282,0.024,0.024 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.024
