project_id,notification_id,notification_type,stage_order,serial_number,publish_date,notification_number,status,details_url,objections_url,previous_publish_date,days_since_previous_event,days_since_first_event
54635,50840,3a,1,1,2017-05-17,1405,3a Notified,calavil.cshtml?project_id=54635&EncHid=&notification_id=50840&nid=9,,,,0
54635,44531,3A,2,1,2017-09-18,2685,3A Notified,sdet.cshtml?project_id=54635&EncHid=&notification_id=44531&nid=9,three_a_obj_rep.cshtml?notification_id=44531&notification_type_id=1,2017-05-17,124.0,124
54635,45887,3A,2,3,2017-11-17,3173,3A Notified,sdet.cshtml?project_id=54635&EncHid=&notification_id=45887&nid=9,three_a_obj_rep.cshtml?notification_id=45887&notification_type_id=1,2017-09-18,60.0,184
54635,52358,3a,1,3,2018-05-17,1405,3a Notified,calavil.cshtml?project_id=54635&EncHid=&notification_id=52358&nid=9,,2017-11-17,181.0,365
54635,34193,3D,3,1,2018-09-28,S.O. 5048 (E),3D Notified,sdet1.cshtml?project_id=54635&EncHid=&notification_id=34193&nid=9,,2018-05-17,134.0,499
54635,35100,3D,3,3,2018-11-15,S.O. 5781 (E),3D Notified,sdet1.cshtml?project_id=54635&EncHid=&notification_id=35100&nid=9,,2018-09-28,48.0,547
54635,58267,3a,1,5,2021-09-15,3761(E),3a Notified,calavil.cshtml?project_id=54635&EncHid=&notification_id=58267&nid=9,,2018-11-15,1035.0,1582
54635,56691,3A,2,5,2021-11-15,4732(E),3A Notified,sdet.cshtml?project_id=54635&EncHid=&notification_id=56691&nid=9,three_a_obj_rep.cshtml?notification_id=56691&notification_type_id=1,2021-09-15,61.0,1643
54635,44312,3D,3,5,2022-03-24,1306(E),3D Notified,sdet1.cshtml?project_id=54635&EncHid=&notification_id=44312&nid=9,,2021-11-15,129.0,1772
59362,56361,3a,1,1,2020-02-11,2323,3a Notified,calavil.cshtml?project_id=59362&EncHid=&notification_id=56361&nid=9,,,,0
60432,59173,3a,1,1,2023-10-12,4459,3a Notified,calavil.cshtml?project_id=60432&EncHid=&notification_id=59173&nid=9,,,,0
60681,59791,3a,1,1,2004-05-19,602,3a Notified,calavil.cshtml?project_id=60681&EncHid=&notification_id=59791&nid=9,,,,0
60681,59817,3a,1,2,2004-05-19,602,3a Notified,calavil.cshtml?project_id=60681&EncHid=&notification_id=59817&nid=9,,2004-05-19,0.0,0
60681,60106,3A,2,1,2005-04-13,560,3A Notified,sdet.cshtml?project_id=60681&EncHid=&notification_id=60106&nid=9,three_a_obj_rep.cshtml?notification_id=60106&notification_type_id=1,2004-05-19,329.0,329
60681,46246,3D,3,1,2005-11-10,1592,3D Notified,sdet1.cshtml?project_id=60681&EncHid=&notification_id=46246&nid=9,,2005-04-13,211.0,540
61053,60885,3a,1,1,2023-10-11,4434,3a Notified,calavil.cshtml?project_id=61053&EncHid=&notification_id=60885&nid=9,,,,0
61053,67707,3A,2,1,2024-03-06,1079,3A Notified,sdet.cshtml?project_id=61053&EncHid=&notification_id=67707&nid=9,three_a_obj_rep.cshtml?notification_id=67707&notification_type_id=1,2023-10-11,147.0,147
61053,54973,3D,3,1,2024-06-14,2331,3D Notified,sdet1.cshtml?project_id=61053&EncHid=&notification_id=54973&nid=9,,2024-03-06,100.0,247
