dataset,column,dtype,rows,missing_count,missing_pct,unique_values,completeness_pct,dominant_value_pct
project_master,project_id,int64,5,0,0.0,5,100.0,20.0
project_master,project_name,str,5,0,0.0,5,100.0,20.0
project_master,project_number,str,5,0,0.0,5,100.0,20.0
project_master,land_required_ha,float64,5,0,0.0,4,100.0,40.0
project_master,land_available_ha,float64,5,0,0.0,5,100.0,20.0
project_master,land_to_acquire_ha,float64,5,0,0.0,5,100.0,20.0
project_master,land_acquired_ha,float64,5,0,0.0,4,100.0,40.0
project_master,survey_count,int64,5,0,0.0,4,100.0,40.0
project_master,surveyed_area_ha,float64,5,2,40.0,3,60.0,33.3333
project_master,private_area_ha,float64,5,2,40.0,3,60.0,33.3333
project_master,government_area_ha,float64,5,2,40.0,3,60.0,33.3333
project_master,private_land_pct,float64,5,2,40.0,3,60.0,33.3333
project_master,government_land_pct,float64,5,2,40.0,3,60.0,33.3333
project_master,village_count,int64,5,0,0.0,4,100.0,40.0
project_master,district_count,int64,5,0,0.0,3,100.0,40.0
project_master,urban_survey_count,int64,5,0,0.0,2,100.0,80.0
project_master,urban_survey_pct,float64,5,2,40.0,2,60.0,66.6667
project_master,wet_survey_count,int64,5,0,0.0,4,100.0,40.0
project_master,wet_land_pct,float64,5,2,40.0,1,60.0,100.0
project_master,party_record_count,int64,5,0,0.0,4,100.0,40.0
project_master,owner_record_count,int64,5,0,0.0,4,100.0,40.0
project_master,affected_party_count,int64,5,0,0.0,3,100.0,60.0
project_master,affected_party_rate_pct,float64,5,2,40.0,3,60.0,33.3333
project_master,party_area_numeric_count,int64,5,0,0.0,4,100.0,40.0
project_master,party_area_missing_count,int64,5,0,0.0,3,100.0,60.0
project_master,party_area_total_ha,float64,5,2,40.0,3,60.0,33.3333
project_master,party_area_mean_ha,float64,5,2,40.0,3,60.0,33.3333
project_master,party_area_max_ha,float64,5,2,40.0,3,60.0,33.3333
project_master,acquisition_completion_pct,float64,5,0,0.0,4,100.0,40.0
project_master,surveyed_vs_land_to_acquire_pct,float64,5,2,40.0,3,60.0,33.3333
project_master,parties_per_survey,float64,5,2,40.0,3,60.0,33.3333
project_master,owners_per_survey,float64,5,2,40.0,3,60.0,33.3333
project_master,first_event_date,str,5,0,0.0,5,100.0,20.0
project_master,last_event_date,str,5,0,0.0,5,100.0,20.0
project_master,latest_event_stage,str,5,0,0.0,2,100.0,60.0
project_master,latest_notification_id,int64,5,0,0.0,5,100.0,20.0
project_master,notification_count_total,int64,5,0,0.0,4,100.0,40.0
project_master,notification_count_3a,int64,5,0,0.0,3,100.0,60.0
project_master,notification_count_3A,int64,5,0,0.0,3,100.0,40.0
project_master,notification_count_3D,int64,5,0,0.0,3,100.0,40.0
project_master,first_3a_date,str,5,0,0.0,5,100.0,20.0
project_master,latest_3a_date,str,5,0,0.0,5,100.0,20.0
project_master,first_3A_date,str,5,2,40.0,3,60.0,33.3333
project_master,latest_3A_date,str,5,2,40.0,3,60.0,33.3333
project_master,first_3D_date,str,5,2,40.0,3,60.0,33.3333
project_master,latest_3D_date,str,5,2,40.0,3,60.0,33.3333
project_master,days_3a_to_3A,float64,5,2,40.0,3,60.0,33.3333
project_master,days_3A_to_3D,float64,5,2,40.0,3,60.0,33.3333
project_master,days_3a_to_3D,float64,5,2,40.0,3,60.0,33.3333
project_master,timeline_span_days,int64,5,0,0.0,4,100.0,40.0
project_features,project_id,int64,5,0,0.0,5,100.0,20.0
project_features,project_name,str,5,0,0.0,5,100.0,20.0
project_features,project_number,str,5,0,0.0,5,100.0,20.0
project_features,land_required_ha,float64,5,0,0.0,4,100.0,40.0
project_features,land_available_ha,float64,5,0,0.0,5,100.0,20.0
project_features,land_to_acquire_ha,float64,5,0,0.0,5,100.0,20.0
project_features,land_acquired_ha,float64,5,0,0.0,4,100.0,40.0
project_features,survey_count,int64,5,0,0.0,4,100.0,40.0
project_features,surveyed_area_ha,float64,5,2,40.0,3,60.0,33.3333
project_features,private_area_ha,float64,5,2,40.0,3,60.0,33.3333
project_features,government_area_ha,float64,5,2,40.0,3,60.0,33.3333
project_features,private_land_pct,float64,5,2,40.0,3,60.0,33.3333
project_features,government_land_pct,float64,5,2,40.0,3,60.0,33.3333
project_features,village_count,int64,5,0,0.0,4,100.0,40.0
project_features,district_count,int64,5,0,0.0,3,100.0,40.0
project_features,urban_survey_count,int64,5,0,0.0,2,100.0,80.0
project_features,urban_survey_pct,float64,5,2,40.0,2,60.0,66.6667
project_features,wet_survey_count,int64,5,0,0.0,4,100.0,40.0
project_features,wet_land_pct,float64,5,2,40.0,1,60.0,100.0
project_features,party_record_count,int64,5,0,0.0,4,100.0,40.0
project_features,owner_record_count,int64,5,0,0.0,4,100.0,40.0
project_features,affected_party_count,int64,5,0,0.0,3,100.0,60.0
project_features,affected_party_rate_pct,float64,5,2,40.0,3,60.0,33.3333
project_features,party_area_numeric_count,int64,5,0,0.0,4,100.0,40.0
project_features,party_area_missing_count,int64,5,0,0.0,3,100.0,60.0
project_features,party_area_total_ha,float64,5,2,40.0,3,60.0,33.3333
project_features,party_area_mean_ha,float64,5,2,40.0,3,60.0,33.3333
project_features,party_area_max_ha,float64,5,2,40.0,3,60.0,33.3333
project_features,acquisition_completion_pct,float64,5,0,0.0,4,100.0,40.0
project_features,surveyed_vs_land_to_acquire_pct,float64,5,2,40.0,3,60.0,33.3333
project_features,parties_per_survey,float64,5,2,40.0,3,60.0,33.3333
project_features,owners_per_survey,float64,5,2,40.0,3,60.0,33.3333
project_timeline,project_id,int64,5,0,0.0,5,100.0,20.0
project_timeline,first_event_date,str,5,0,0.0,5,100.0,20.0
project_timeline,last_event_date,str,5,0,0.0,5,100.0,20.0
project_timeline,latest_event_stage,str,5,0,0.0,2,100.0,60.0
project_timeline,latest_notification_id,int64,5,0,0.0,5,100.0,20.0
project_timeline,notification_count_total,int64,5,0,0.0,4,100.0,40.0
project_timeline,notification_count_3a,int64,5,0,0.0,3,100.0,60.0
project_timeline,notification_count_3A,int64,5,0,0.0,3,100.0,40.0
project_timeline,notification_count_3D,int64,5,0,0.0,3,100.0,40.0
project_timeline,first_3a_date,str,5,0,0.0,5,100.0,20.0
project_timeline,latest_3a_date,str,5,0,0.0,5,100.0,20.0
project_timeline,first_3A_date,str,5,2,40.0,3,60.0,33.3333
project_timeline,latest_3A_date,str,5,2,40.0,3,60.0,33.3333
project_timeline,first_3D_date,str,5,2,40.0,3,60.0,33.3333
project_timeline,latest_3D_date,str,5,2,40.0,3,60.0,33.3333
project_timeline,days_3a_to_3A,float64,5,2,40.0,3,60.0,33.3333
project_timeline,days_3A_to_3D,float64,5,2,40.0,3,60.0,33.3333
project_timeline,days_3a_to_3D,float64,5,2,40.0,3,60.0,33.3333
project_timeline,timeline_span_days,int64,5,0,0.0,4,100.0,40.0
notification_timeline,project_id,int64,18,0,0.0,5,100.0,50.0
notification_timeline,notification_id,int64,18,0,0.0,18,100.0,5.5556
notification_timeline,notification_type,str,18,0,0.0,3,100.0,44.4444
notification_timeline,stage_order,int64,18,0,0.0,3,100.0,44.4444
