project_id,event_date,event_type,notification_id,notification_number,status,details_url,objections_url,event_sequence,previous_event_date,days_since_previous_event,first_event_date,days_since_first_event,is_3a,is_3A,is_3D,has_3a_by_date,has_3A_by_date,has_3D_by_date,stage_as_of_event
54635,2017-05-17,3a,50840,1405,3a Notified,calavil.cshtml?project_id=54635&EncHid=&notification_id=50840&nid=9,,1,,,2017-05-17,0,1,0,0,1,0,0,3a
54635,2017-09-18,3A,44531,2685,3A Notified,sdet.cshtml?project_id=54635&EncHid=&notification_id=44531&nid=9,three_a_obj_rep.cshtml?notification_id=44531&notification_type_id=1,2,2017-05-17,124.0,2017-05-17,124,0,1,0,1,1,0,3A
54635,2017-11-17,3A,45887,3173,3A Notified,sdet.cshtml?project_id=54635&EncHid=&notification_id=45887&nid=9,three_a_obj_rep.cshtml?notification_id=45887&notification_type_id=1,3,2017-09-18,60.0,2017-05-17,184,0,1,0,1,1,0,3A
54635,2018-05-17,3a,52358,1405,3a Notified,calavil.cshtml?project_id=54635&EncHid=&notification_id=52358&nid=9,,4,2017-11-17,181.0,2017-05-17,365,1,0,0,1,1,0,3A
54635,2018-09-28,3D,34193,S.O. 5048 (E),3D Notified,sdet1.cshtml?project_id=54635&EncHid=&notification_id=34193&nid=9,,5,2018-05-17,134.0,2017-05-17,499,0,0,1,1,1,1,3D
54635,2018-11-15,3D,35100,S.O. 5781 (E),3D Notified,sdet1.cshtml?project_id=54635&EncHid=&notification_id=35100&nid=9,,6,2018-09-28,48.0,2017-05-17,547,0,0,1,1,1,1,3D
54635,2021-09-15,3a,58267,3761(E),3a Notified,calavil.cshtml?project_id=54635&EncHid=&notification_id=58267&nid=9,,7,2018-11-15,1035.0,2017-05-17,1582,1,0,0,1,1,1,3D
54635,2021-11-15,3A,56691,4732(E),3A Notified,sdet.cshtml?project_id=54635&EncHid=&notification_id=56691&nid=9,three_a_obj_rep.cshtml?notification_id=56691&notification_type_id=1,8,2021-09-15,61.0,2017-05-17,1643,0,1,0,1,1,1,3D
54635,2022-03-24,3D,44312,1306(E),3D Notified,sdet1.cshtml?project_id=54635&EncHid=&notification_id=44312&nid=9,,9,2021-11-15,129.0,2017-05-17,1772,0,0,1,1,1,1,3D
59362,2020-02-11,3a,56361,2323,3a Notified,calavil.cshtml?project_id=59362&EncHid=&notification_id=56361&nid=9,,1,,,2020-02-11,0,1,0,0,1,0,0,3a
60432,2023-10-12,3a,59173,4459,3a Notified,calavil.cshtml?project_id=60432&EncHid=&notification_id=59173&nid=9,,1,,,2023-10-12,0,1,0,0,1,0,0,3a
60681,2004-05-19,3a,59791,602,3a Notified,calavil.cshtml?project_id=60681&EncHid=&notification_id=59791&nid=9,,1,,,2004-05-19,0,1,0,0,1,0,0,3a
60681,2004-05-19,3a,59817,602,3a Notified,calavil.cshtml?project_id=60681&EncHid=&notification_id=59817&nid=9,,2,2004-05-19,0.0,2004-05-19,0,1,0,0,1,0,0,3a
60681,2005-04-13,3A,60106,560,3A Notified,sdet.cshtml?project_id=60681&EncHid=&notification_id=60106&nid=9,three_a_obj_rep.cshtml?notification_id=60106&notification_type_id=1,3,2004-05-19,329.0,2004-05-19,329,0,1,0,1,1,0,3A
60681,2005-11-10,3D,46246,1592,3D Notified,sdet1.cshtml?project_id=60681&EncHid=&notification_id=46246&nid=9,,4,2005-04-13,211.0,2004-05-19,540,0,0,1,1,1,1,3D
61053,2023-10-11,3a,60885,4434,3a Notified,calavil.cshtml?project_id=61053&EncHid=&notification_id=60885&nid=9,,1,,,2023-10-11,0,1,0,0,1,0,0,3a
61053,2024-03-06,3A,67707,1079,3A Notified,sdet.cshtml?project_id=61053&EncHid=&notification_id=67707&nid=9,three_a_obj_rep.cshtml?notification_id=67707&notification_type_id=1,2,2023-10-11,147.0,2023-10-11,147,0,1,0,1,1,0,3A
61053,2024-06-14,3D,54973,2331,3D Notified,sdet1.cshtml?project_id=61053&EncHid=&notification_id=54973&nid=9,,3,2024-03-06,100.0,2023-10-11,247,0,0,1,1,1,1,3D
