snapshot_id,project_id,snapshot_date,project_start_date,current_stage,stage_first_seen_date,days_in_current_stage,days_since_project_start,days_since_previous_event,event_sequence,event_count_so_far,event_type,notification_id,notification_number,status,count_3a_so_far,count_3A_so_far,count_3D_so_far,has_3a,has_3A,has_3D,project_name,project_number,land_required_ha,land_to_acquire_ha,project_id_data_class,project_name_data_class,project_number_data_class,land_required_ha_data_class,land_to_acquire_ha_data_class,temporal_state_data_class,stage_entry_date
54635_20170517_001,54635,2017-05-17,2017-05-17,3a,2017-05-17,0,0,,1,1,3a,50840,1405,3a Notified,1,0,0,1,0,0,Widening the existing lane to two lane paved shoulder from km 239.900 to 294.300 (Nayagarh to Khordha) on NH-57 in the state of Odisha विडेनिंग थे एक्सिस्टिंग लेन तो तवो लेन पवेद शोल्डर फ्रॉम कम 239.९०० तो 294.३०० (नयागढ़ तो Khordha) ों NH-५७ इन थे स्टेट ऑफ़ ओडिशा,MO/2018/54635,22.0,22.0,STATIC_REFERENCE,STATIC_REFERENCE,STATIC_REFERENCE,STATIC_REFERENCE,STATIC_REFERENCE,OBSERVED_AS_OF_SNAPSHOT,2017-05-17
54635_20170918_002,54635,2017-09-18,2017-05-17,3A,2017-09-18,0,124,124.0,2,2,3A,44531,2685,3A Notified,1,1,0,1,1,0,Widening the existing lane to two lane paved shoulder from km 239.900 to 294.300 (Nayagarh to Khordha) on NH-57 in the state of Odisha विडेनिंग थे एक्सिस्टिंग लेन तो तवो लेन पवेद शोल्डर फ्रॉम कम 239.९०० तो 294.३०० (नयागढ़ तो Khordha) ों NH-५७ इन थे स्टेट ऑफ़ ओडिशा,MO/2018/54635,22.0,22.0,STATIC_REFERENCE,STATIC_REFERENCE,STATIC_REFERENCE,STATIC_REFERENCE,STATIC_REFERENCE,OBSERVED_AS_OF_SNAPSHOT,2017-09-18
54635_20171117_003,54635,2017-11-17,2017-05-17,3A,2017-09-18,60,184,60.0,3,3,3A,45887,3173,3A Notified,1,2,0,1,1,0,Widening the existing lane to two lane paved shoulder from km 239.900 to 294.300 (Nayagarh to Khordha) on NH-57 in the state of Odisha विडेनिंग थे एक्सिस्टिंग लेन तो तवो लेन पवेद शोल्डर फ्रॉम कम 239.९०० तो 294.३०० (नयागढ़ तो Khordha) ों NH-५७ इन थे स्टेट ऑफ़ ओडिशा,MO/2018/54635,22.0,22.0,STATIC_REFERENCE,STATIC_REFERENCE,STATIC_REFERENCE,STATIC_REFERENCE,STATIC_REFERENCE,OBSERVED_AS_OF_SNAPSHOT,2017-11-17
54635_20180517_004,54635,2018-05-17,2017-05-17,3A,2017-09-18,241,365,181.0,4,4,3a,52358,1405,3a Notified,2,2,0,1,1,0,Widening the existing lane to two lane paved shoulder from km 239.900 to 294.300 (Nayagarh to Khordha) on NH-57 in the state of Odisha विडेनिंग थे एक्सिस्टिंग लेन तो तवो लेन पवेद शोल्डर फ्रॉम कम 239.९०० तो 294.३०० (नयागढ़ तो Khordha) ों NH-५७ इन थे स्टेट ऑफ़ ओडिशा,MO/2018/54635,22.0,22.0,STATIC_REFERENCE,STATIC_REFERENCE,STATIC_REFERENCE,STATIC_REFERENCE,STATIC_REFERENCE,OBSERVED_AS_OF_SNAPSHOT,2018-05-17
54635_20180928_005,54635,2018-09-28,2017-05-17,3D,2018-09-28,0,499,134.0,5,5,3D,34193,S.O. 5048 (E),3D Notified,2,2,1,1,1,1,Widening the existing lane to two lane paved shoulder from km 239.900 to 294.300 (Nayagarh to Khordha) on NH-57 in the state of Odisha विडेनिंग थे एक्सिस्टिंग लेन तो तवो लेन पवेद शोल्डर फ्रॉम कम 239.९०० तो 294.३०० (नयागढ़ तो Khordha) ों NH-५७ इन थे स्टेट ऑफ़ ओडिशा,MO/2018/54635,22.0,22.0,STATIC_REFERENCE,STATIC_REFERENCE,STATIC_REFERENCE,STATIC_REFERENCE,STATIC_REFERENCE,OBSERVED_AS_OF_SNAPSHOT,2018-09-28
54635_20181115_006,54635,2018-11-15,2017-05-17,3D,2018-09-28,48,547,48.0,6,6,3D,35100,S.O. 5781 (E),3D Notified,2,2,2,1,1,1,Widening the existing lane to two lane paved shoulder from km 239.900 to 294.300 (Nayagarh to Khordha) on NH-57 in the state of Odisha विडेनिंग थे एक्सिस्टिंग लेन तो तवो लेन पवेद शोल्डर फ्रॉम कम 239.९०० तो 294.३०० (नयागढ़ तो Khordha) ों NH-५७ इन थे स्टेट ऑफ़ ओडिशा,MO/2018/54635,22.0,22.0,STATIC_REFERENCE,STATIC_REFERENCE,STATIC_REFERENCE,STATIC_REFERENCE,STATIC_REFERENCE,OBSERVED_AS_OF_SNAPSHOT,2018-11-15
54635_20210915_007,54635,2021-09-15,2017-05-17,3D,2018-09-28,1083,1582,1035.0,7,7,3a,58267,3761(E),3a Notified,3,2,2,1,1,1,Widening the existing lane to two lane paved shoulder from km 239.900 to 294.300 (Nayagarh to Khordha) on NH-57 in the state of Odisha विडेनिंग थे एक्सिस्टिंग लेन तो तवो लेन पवेद शोल्डर फ्रॉम कम 239.९०० तो 294.३०० (नयागढ़ तो Khordha) ों NH-५७ इन थे स्टेट ऑफ़ ओडिशा,MO/2018/54635,22.0,22.0,STATIC_REFERENCE,STATIC_REFERENCE,STATIC_REFERENCE,STATIC_REFERENCE,STATIC_REFERENCE,OBSERVED_AS_OF_SNAPSHOT,2021-09-15
54635_20211115_008,54635,2021-11-15,2017-05-17,3D,2018-09-28,1144,1643,61.0,8,8,3A,56691,4732(E),3A Notified,3,3,2,1,1,1,Widening the existing lane to two lane paved shoulder from km 239.900 to 294.300 (Nayagarh to Khordha) on NH-57 in the state of Odisha विडेनिंग थे एक्सिस्टिंग लेन तो तवो लेन पवेद शोल्डर फ्रॉम कम 239.९०० तो 294.३०० (नयागढ़ तो Khordha) ों NH-५७ इन थे स्टेट ऑफ़ ओडिशा,MO/2018/54635,22.0,22.0,STATIC_REFERENCE,STATIC_REFERENCE,STATIC_REFERENCE,STATIC_REFERENCE,STATIC_REFERENCE,OBSERVED_AS_OF_SNAPSHOT,2021-11-15
54635_20220324_009,54635,2022-03-24,2017-05-17,3D,2018-09-28,1273,1772,129.0,9,9,3D,44312,1306(E),3D Notified,3,3,3,1,1,1,Widening the existing lane to two lane paved shoulder from km 239.900 to 294.300 (Nayagarh to Khordha) on NH-57 in the state of Odisha विडेनिंग थे एक्सिस्टिंग लेन तो तवो लेन पवेद शोल्डर फ्रॉम कम 239.९०० तो 294.३०० (नयागढ़ तो Khordha) ों NH-५७ इन थे स्टेट ऑफ़ ओडिशा,MO/2018/54635,22.0,22.0,STATIC_REFERENCE,STATIC_REFERENCE,STATIC_REFERENCE,STATIC_REFERENCE,STATIC_REFERENCE,OBSERVED_AS_OF_SNAPSHOT,2022-03-24
59362_20200211_001,59362,2020-02-11,2020-02-11,3a,2020-02-11,0,0,,1,1,3a,56361,2323,3a Notified,1,0,0,1,0,0,Test Project 3A टेस्ट प्रोजेक्ट ३ा,MO/2020/59362,100.0,70.0,STATIC_REFERENCE,STATIC_REFERENCE,STATIC_REFERENCE,STATIC_REFERENCE,STATIC_REFERENCE,OBSERVED_AS_OF_SNAPSHOT,2020-02-11
