project_id,cycle_number,cycle_id,cycle_start_date,event_date,cycle_event_sequence,project_event_sequence,event_type,cycle_stage,notification_id,notification_number,status,cycle_days_elapsed,cycle_status,cycle_completed
54635,1,54635_C01,2017-05-17,2017-05-17,1,1,3a,3a,50840,1405,3a Notified,0,OPEN,0
54635,1,54635_C01,2017-05-17,2017-09-18,2,2,3A,3A,44531,2685,3A Notified,124,OPEN,0
54635,1,54635_C01,2017-05-17,2017-11-17,3,3,3A,3A,45887,3173,3A Notified,184,OPEN,0
54635,1,54635_C01,2017-05-17,2018-05-17,4,4,3a,3a,52358,1405,3a Notified,365,OPEN,0
54635,1,54635_C01,2017-05-17,2018-09-28,5,5,3D,3D,34193,S.O. 5048 (E),3D Notified,499,COMPLETED,1
54635,1,54635_C01,2017-05-17,2018-11-15,6,6,3D,3D,35100,S.O. 5781 (E),3D Notified,547,COMPLETED,1
54635,2,54635_C02,2021-09-15,2021-09-15,1,7,3a,3a,58267,3761(E),3a Notified,0,OPEN,0
54635,2,54635_C02,2021-09-15,2021-11-15,2,8,3A,3A,56691,4732(E),3A Notified,61,OPEN,0
54635,2,54635_C02,2021-09-15,2022-03-24,3,9,3D,3D,44312,1306(E),3D Notified,190,COMPLETED,1
59362,1,59362_C01,2020-02-11,2020-02-11,1,1,3a,3a,56361,2323,3a Notified,0,OPEN,0
60432,1,60432_C01,2023-10-12,2023-10-12,1,1,3a,3a,59173,4459,3a Notified,0,OPEN,0
60681,1,60681_C01,2004-05-19,2004-05-19,1,1,3a,3a,59791,602,3a Notified,0,OPEN,0
60681,1,60681_C01,2004-05-19,2004-05-19,2,2,3a,3a,59817,602,3a Notified,0,OPEN,0
60681,1,60681_C01,2004-05-19,2005-04-13,3,3,3A,3A,60106,560,3A Notified,329,OPEN,0
60681,1,60681_C01,2004-05-19,2005-11-10,4,4,3D,3D,46246,1592,3D Notified,540,COMPLETED,1
61053,1,61053_C01,2023-10-11,2023-10-11,1,1,3a,3a,60885,4434,3a Notified,0,OPEN,0
61053,1,61053_C01,2023-10-11,2024-03-06,2,2,3A,3A,67707,1079,3A Notified,147,OPEN,0
61053,1,61053_C01,2023-10-11,2024-06-14,3,3,3D,3D,54973,2331,3D Notified,247,COMPLETED,1
