,days_in_current_stage,days_since_project_start,event_count_so_far,land_required_ha,land_to_acquire_ha,total_parcels,affected_families,vulnerable_families,pending_approvals_count,file_pending_days,docs_complete_pct,court_cases_count,case_age_months,title_disputes_parcels,grievances_30d,compensation_awarded_cr,compensation_disbursed_cr,disbursal_pct,rnr_progress_pct,rnr_consent_pct,grievance_redressal_days,forest_involved,proximity_km_to_urban
days_in_current_stage,1.0,0.8728510005643922,0.8728510005643922,0.012827421285969344,0.013138391750471013,0.012800592766797547,0.011377604317307532,-0.0010399792612131038,0.11333492939146364,0.3207537279269837,0.15151253713655283,0.04777988285566924,0.2657668279264184,0.02039624428401768,0.13582734657728954,0.008053606383962273,0.5794110282267797,0.655315470328357,0.6185599030898131,-0.03439746413901318,0.002037388869210397,-0.005787695311885128,-0.005748431388290331
days_since_project_start,0.8728510005643922,1.0,1.0,0.00940259123642751,0.009605236201369757,0.01081195357425398,0.010787495990558919,5.496562889341879e-05,0.07168851483309713,0.3075556082891682,0.23406259335757815,-0.0030810361428088955,0.24381231590709868,0.002793083327261784,0.10709658764515353,0.005216405700507474,0.7950722168757786,0.8701669584396254,0.7758981423119207,0.002545418632799264,-0.0002205344637562118,-0.0037895780059051466,-0.006439474521511375
event_count_so_far,0.8728510005643922,1.0,1.0,0.00940259123642751,0.009605236201369757,0.01081195357425398,0.010787495990558919,5.496562889341879e-05,0.07168851483309713,0.3075556082891682,0.23406259335757815,-0.0030810361428088955,0.24381231590709868,0.002793083327261784,0.10709658764515353,0.005216405700507474,0.7950722168757786,0.8701669584396254,0.7758981423119207,0.002545418632799264,-0.0002205344637562118,-0.0037895780059051466,-0.006439474521511375
land_required_ha,0.012827421285969344,0.00940259123642751,0.00940259123642751,1.0,0.9815512036272955,0.8801763020643862,0.797794635155464,0.7114467705551368,0.0031656943482571945,-0.035521999552747006,-0.011103256645772655,0.02646417516503294,0.02700987685102688,-0.023081893365595862,0.05501474774334546,0.8053028094201194,0.24059294458992955,0.0035921837568118455,-2.97066024035685e-05,-0.0538622440713756,0.02879409389342522,0.02825019536445999,0.02112386208772498
land_to_acquire_ha,0.013138391750471013,0.009605236201369757,0.009605236201369757,0.9815512036272955,1.0,0.8662803532546731,0.7865871595428637,0.7072883460815634,0.0046858342288258175,-0.027991170746392936,-0.012420609830152706,0.03223179920886431,0.03349900045777619,-0.018181626824531918,0.05009363959503089,0.7912108395826599,0.2364622830628965,0.00332749552516047,0.0002154212190205379,-0.05555758007599704,0.025506210910398407,0.027122942923772018,0.022304522636992
total_parcels,0.012800592766797547,0.01081195357425398,0.01081195357425398,0.8801763020643862,0.8662803532546731,1.0,0.9059846819202706,0.8074428028568692,0.012053249686020605,-0.016708043438256777,0.0007838977724819047,0.03740669233781912,0.038305217090330725,-0.02220632856971318,0.033538421675585704,0.7161691401691683,0.21418425229637553,0.002944370714419816,0.012236968076802733,-0.05362547046633733,0.03303524173737483,0.028324800801942475,0.011090499140817164
affected_families,0.011377604317307532,0.010787495990558919,0.010787495990558919,0.797794635155464,0.7865871595428637,0.9059846819202706,1.0,0.8827372756481011,0.008324432351181082,-0.01887713345160704,0.02301257793596228,0.012754769906803264,0.01494928804573377,-0.013293902276023199,0.043202216066168884,0.6532309460107505,0.2047955552966998,0.009929846575487783,0.01797998182381829,-0.02158573539821914,0.020832174780972528,0.01450504378414748,-0.028303169813998552
vulnerable_families,-0.0010399792612131038,5.496562889341879e-05,5.496562889341879e-05,0.7114467705551368,0.7072883460815634,0.8074428028568692,0.8827372756481011,1.0,0.01349102059898368,-0.02778196254085728,0.012430274563933062,0.0056600318164065095,0.0049707956091689445,-0.014051478491585735,0.04414774464797466,0.5823147905661745,0.1790937609203319,0.004417708589369521,0.012183263621506903,-0.03253175295708766,0.004876575057382201,0.013375285338679141,-0.030381446532090087
pending_approvals_count,0.11333492939146364,0.07168851483309713,0.07168851483309713,0.0031656943482571945,0.0046858342288258175,0.012053249686020605,0.008324432351181082,0.01349102059898368,1.0,0.577126240107035,-0.46603417481576664,0.21183894286526475,0.22502379007090276,-0.013340454517224556,0.11693271089208147,0.005184810877810273,-0.05656989683530606,-0.06894971255856783,0.1252880203420289,-0.18968561929978672,-0.12312130174199694,-0.014507092474117422,-0.010590926138182513
file_pending_days,0.3207537279269837,0.3075556082891682,0.3075556082891682,-0.035521999552747006,-0.027991170746392936,-0.016708043438256777,-0.01887713345160704,-0.02778196254085728,0.577126240107035,1.0,-0.4731238334167445,0.14721695898500942,0.2210587673455034,-0.029618246412753887,0.1570079682386876,-0.02837153980987637,0.12520991958607855,0.14666983608085904,0.34265397311952744,-0.17502453602251042,-0.13613417799296726,-0.02658018402277665,-0.01962195612417222
docs_complete_pct,0.15151253713655283,0.23406259335757815,0.23406259335757815,-0.011103256645772655,-0.012420609830152706,0.0007838977724819047,0.02301257793596228,0.012430274563933062,-0.46603417481576664,-0.4731238334167445,1.0,-0.1692554003559452,-0.10938437007881295,0.03660716384920327,-0.10828024530076705,-0.009546692410770457,0.2971173958590082,0.34072739313795186,0.11669230779907105,0.17103177835991099,0.06626587130071758,0.02185629273101982,-0.012061298189262753
court_cases_count,0.04777988285566924,-0.0030810361428088955,-0.0030810361428088955,0.02646417516503294,0.03223179920886431,0.03740669233781912,0.012754769906803264,0.0056600318164065095,0.21183894286526475,0.14721695898500942,-0.1692554003559452,1.0,0.9207705964815482,0.24221246125980847,0.27891735007042734,0.026229739259040423,-0.10131989108160183,-0.12417492376226356,0.037206411940999634,-0.21777978140426393,-0.07953434511965306,-0.010780422533094894,0.019304709384096088
case_age_months,0.2657668279264184,0.24381231590709868,0.24381231590709868,0.02700987685102688,0.03349900045777619,0.038305217090330725,0.01494928804573377,0.0049707956091689445,0.22502379007090276,0.2210587673455034,-0.10938437007881295,0.9207705964815482,1.0,0.23064335818363987,0.29754050378817287,0.026783066719980004,0.09344524627775341,0.08909263508224635,0.2292076104201279,-0.2147121262916643,-0.08206338511217691,-0.007352503184677328,0.015480839839438479
