target,feature,importance
delay_next_30d,current_stage_3D,0.16156068
delay_next_30d,days_since_project_start,0.049352456
delay_next_30d,days_in_current_stage,0.043958195
delay_next_30d,current_stage_3A,0.030812416
delay_next_30d,docs_complete_pct,0.02578718
delay_next_30d,grievances_30d,0.025389455
delay_next_30d,approval_dept_Environment,0.025059098
delay_next_30d,approval_dept_Revenue,0.024680741
delay_next_30d,rnr_progress_pct,0.022579359
delay_next_30d,grievance_redressal_days,0.021654474
delay_next_30d,land_acquisition_ratio,0.020975105
delay_next_30d,disbursal_pct,0.020946246
delay_next_30d,case_age_months,0.02013987
delay_next_30d,land_to_acquire_ha,0.02011833
delay_next_30d,compensation_disbursed_cr,0.019542519
delay_next_30d,pending_approvals_count,0.019337866
delay_next_30d,vulnerable_family_share,0.019073676
delay_next_30d,current_stage_3a,0.018366193
delay_next_30d,total_parcels,0.018362982
delay_next_30d,file_pending_days,0.018140554
delay_next_30d,compensation_pending_cr,0.018121975
delay_next_30d,approval_dept_Multiple Departments,0.018110646
delay_next_30d,affected_families,0.018040828
delay_next_30d,land_required_ha,0.017765306
delay_next_30d,forest_involved,0.017755995
delay_next_30d,terrain_type_Rolling,0.017677873
delay_next_30d,court_cases_count,0.017573249
delay_next_30d,docs_remaining_pct,0.01743937
delay_next_30d,rnr_remaining_pct,0.01720823
delay_next_30d,vulnerable_families,0.017093321
delay_next_30d,affected_family_per_parcel,0.01678678
delay_next_30d,rnr_consent_pct,0.016439367
delay_next_30d,proximity_km_to_urban,0.016438674
delay_next_30d,compensation_awarded_cr,0.015873518
delay_next_30d,terrain_type_Hilly,0.014471424
delay_next_30d,title_disputes_parcels,0.014303938
delay_next_30d,urban_rural_Urban,0.013937277
delay_next_30d,approval_dept_District Administration,0.013892684
delay_next_30d,approval_dept_Forest,0.012694348
delay_next_30d,urban_rural_Semi-Urban,0.012377896
delay_next_30d,terrain_type_Riverine,0.012034401
delay_next_30d,approval_dept_PWD,0.010648105
delay_next_30d,terrain_type_Plain,0.010589233
delay_next_30d,urban_rural_Rural,0.008456985
delay_next_30d,terrain_type_Coastal,0.008431144
