target,method,bin,lower_probability,upper_probability,count,mean_predicted_probability,observed_positive_rate,absolute_calibration_gap
delay_next_30d,uncalibrated_xgboost,1,0.0,0.1,950,0.02386380310599251,0.015789473684210527,0.008074329421781982
delay_next_30d,uncalibrated_xgboost,2,0.1,0.2,254,0.14691221024694406,0.051181102362204724,0.09573110788473935
delay_next_30d,uncalibrated_xgboost,3,0.2,0.30000000000000004,125,0.24388959193229676,0.008,0.23588959193229675
delay_next_30d,uncalibrated_xgboost,4,0.30000000000000004,0.4,108,0.34769161349093475,0.10185185185185185,0.2458397616390829
delay_next_30d,uncalibrated_xgboost,5,0.4,0.5,95,0.44634499769461783,0.07368421052631578,0.37266078716830203
delay_next_30d,uncalibrated_xgboost,6,0.5,0.6000000000000001,77,0.5458742101471146,0.09090909090909091,0.45496511923802363
delay_next_30d,uncalibrated_xgboost,7,0.6000000000000001,0.7000000000000001,63,0.6444287792084709,0.14285714285714285,0.5015716363513281
delay_next_30d,uncalibrated_xgboost,8,0.7000000000000001,0.8,44,0.7491841830990531,0.11363636363636363,0.6355478194626895
delay_next_30d,uncalibrated_xgboost,9,0.8,0.9,12,0.8298614074786504,0.08333333333333333,0.7465280741453171
delay_next_30d,uncalibrated_xgboost,10,0.9,1.0,4,0.9074184894561768,0.25,0.6574184894561768
delay_next_30d,sigmoid,1,0.0,0.1,1657,0.027230153207169556,0.03741701870850935,0.010186865501339796
delay_next_30d,sigmoid,2,0.1,0.2,75,0.12440195021172962,0.10666666666666667,0.017735283545062944
delay_next_30d,sigmoid,3,0.2,0.30000000000000004,0,,,
delay_next_30d,sigmoid,4,0.30000000000000004,0.4,0,,,
delay_next_30d,sigmoid,5,0.4,0.5,0,,,
delay_next_30d,sigmoid,6,0.5,0.6000000000000001,0,,,
delay_next_30d,sigmoid,7,0.6000000000000001,0.7000000000000001,0,,,
delay_next_30d,sigmoid,8,0.7000000000000001,0.8,0,,,
delay_next_30d,sigmoid,9,0.8,0.9,0,,,
delay_next_30d,sigmoid,10,0.9,1.0,0,,,
delay_next_30d,isotonic,1,0.0,0.1,1652,0.026780676388101644,0.03753026634382567,0.010749589955724025
delay_next_30d,isotonic,2,0.1,0.2,80,0.12589825803509083,0.1,0.025898258035090826
delay_next_30d,isotonic,3,0.2,0.30000000000000004,0,,,
delay_next_30d,isotonic,4,0.30000000000000004,0.4,0,,,
delay_next_30d,isotonic,5,0.4,0.5,0,,,
delay_next_30d,isotonic,6,0.5,0.6000000000000001,0,,,
delay_next_30d,isotonic,7,0.6000000000000001,0.7000000000000001,0,,,
delay_next_30d,isotonic,8,0.7000000000000001,0.8,0,,,
delay_next_30d,isotonic,9,0.8,0.9,0,,,
delay_next_30d,isotonic,10,0.9,1.0,0,,,
delay_next_60d,uncalibrated_xgboost,1,0.0,0.1,801,0.025759823169591505,0.02247191011235955,0.0032879130572319552
delay_next_60d,uncalibrated_xgboost,2,0.1,0.2,258,0.14749331928269807,0.06589147286821706,0.08160184641448101
delay_next_60d,uncalibrated_xgboost,3,0.2,0.30000000000000004,158,0.24769767958529387,0.06329113924050633,0.18440654034478754
delay_next_60d,uncalibrated_xgboost,4,0.30000000000000004,0.4,111,0.3489411765927667,0.0990990990990991,0.2498420774936676
delay_next_60d,uncalibrated_xgboost,5,0.4,0.5,79,0.45203556591951394,0.24050632911392406,0.21152923680558988
delay_next_60d,uncalibrated_xgboost,6,0.5,0.6000000000000001,98,0.5509780511564139,0.22448979591836735,0.3264882552380465
