days_in_current_stage,days_since_project_start,land_required_ha,land_to_acquire_ha,total_parcels,affected_families,vulnerable_families,pending_approvals_count,file_pending_days,docs_complete_pct,court_cases_count,case_age_months,title_disputes_parcels,grievances_30d,compensation_awarded_cr,compensation_disbursed_cr,disbursal_pct,rnr_progress_pct,rnr_consent_pct,grievance_redressal_days,forest_involved,proximity_km_to_urban,land_acquisition_ratio,affected_family_per_parcel,vulnerable_family_share,compensation_pending_cr,rnr_remaining_pct,docs_remaining_pct,current_stage,approval_dept,terrain_type,urban_rural,delay_next_30d,delay_next_60d,delay_next_90d
0,0,9.7569,7.7186,146,58,6,2,19,93.003,1,0.0,2,1,2.3208,0.0,0.0,0.0,78.177,20.166,0,59.044,0.791091432729658,0.3972602739726027,0.10344827586206896,2.3208,100.0,6.997,3a,PWD,Hilly,Rural,0,0,0
30,30,9.7569,7.7186,146,58,6,2,21,95.92,1,0.986,2,2,3.2677,0.0,0.0,0.0,78.177,20.166,0,59.044,0.791091432729658,0.3972602739726027,0.10344827586206896,3.2677,100.0,4.079999999999998,3a,PWD,Hilly,Rural,0,0,0
60,60,9.7569,7.7186,146,58,6,3,29,95.219,1,1.971,2,2,2.2676,0.0,0.0,0.0,78.177,20.166,0,59.044,0.791091432729658,0.3972602739726027,0.10344827586206896,2.2676,100.0,4.781000000000006,3a,District Administration,Hilly,Rural,0,0,0
90,90,9.7569,7.7186,146,58,6,3,26,97.393,1,2.957,2,3,1.4348,0.0,0.0,0.0,78.177,20.166,0,59.044,0.791091432729658,0.3972602739726027,0.10344827586206896,1.4348,100.0,2.6069999999999993,3a,Environment,Hilly,Rural,0,0,0
120,120,9.7569,7.7186,146,58,6,3,28,97.162,1,3.942,2,3,2.1997,0.0,0.0,0.0,78.177,20.166,0,59.044,0.791091432729658,0.3972602739726027,0.10344827586206896,2.1997,100.0,2.837999999999994,3a,District Administration,Hilly,Rural,0,0,0
53,150,9.7569,7.7186,146,58,6,3,35,100.0,1,4.928,2,3,0.6693,0.001,0.156,2.297,78.177,20.166,0,59.044,0.791091432729658,0.3972602739726027,0.10344827586206896,0.6683,97.703,0.0,3A,District Administration,Hilly,Rural,0,0,0
83,180,9.7569,7.7186,146,58,6,2,39,100.0,1,5.913,2,4,1.9323,0.109,5.64,3.257,78.177,20.166,0,59.044,0.791091432729658,0.3972602739726027,0.10344827586206896,1.8233,96.743,0.0,3A,Forest,Hilly,Rural,0,0,0
113,210,9.7569,7.7186,146,58,6,2,44,100.0,1,6.899,2,4,1.9993,0.1979,9.9,8.88,78.177,20.166,0,59.044,0.791091432729658,0.3972602739726027,0.10344827586206896,1.8014000000000001,91.12,0.0,3A,District Administration,Hilly,Rural,0,0,0
143,240,9.7569,7.7186,146,58,6,2,46,100.0,1,7.884,2,5,2.1327,0.2707,12.693,12.323,78.177,20.166,0,59.044,0.791091432729658,0.3972602739726027,0.10344827586206896,1.8619999999999999,87.67699999999999,0.0,3A,Revenue,Hilly,Rural,0,0,0
95,270,9.7569,7.7186,146,58,6,2,44,100.0,1,8.87,2,4,2.0429,0.391,19.138,18.36,78.177,20.166,0,59.044,0.791091432729658,0.3972602739726027,0.10344827586206896,1.6519,81.64,0.0,3D,Revenue,Hilly,Rural,0,0,0
