target,feature,decile,n,value_min,value_median,value_max,mean_shap,median_shap
delay_next_30d,days_in_current_stage,1,300,0.0,15.0,30.0,-2.603806025981903,-2.5863921642303467
delay_next_30d,days_in_current_stage,2,73,32.0,42.0,42.0,0.025101912539605392,0.1240260675549507
delay_next_30d,days_in_current_stage,3,202,53.0,60.0,60.0,0.3023315505816204,0.2855439633131027
delay_next_30d,days_in_current_stage,4,141,62.0,72.0,74.0,0.3117922330473331,0.310097873210907
delay_next_30d,days_in_current_stage,5,206,83.0,90.0,90.0,0.2676043971938994,0.25705754756927485
delay_next_30d,days_in_current_stage,6,122,92.0,95.0,102.0,0.06201705507567671,0.20299413055181495
delay_next_30d,days_in_current_stage,7,207,104.0,114.0,120.0,0.0846362577780523,0.0818143486976623
delay_next_30d,days_in_current_stage,8,134,123.0,132.0,137.0,-0.36773958293470876,-0.43564698100090027
delay_next_30d,days_in_current_stage,9,176,143.0,150.0,165.0,-0.48528527713973413,-0.47623036801815033
delay_next_30d,days_in_current_stage,10,171,167.0,185.0,264.0,-1.0275151808882317,-1.2916780710220337
