target,feature,decile,n,value_min,value_median,value_max,mean_shap,median_shap
delay_next_30d,days_since_project_start,1,300,0.0,15.0,30.0,-1.7009557942549387,-1.7008582949638367
delay_next_30d,days_since_project_start,2,150,60.0,60.0,60.0,-1.361598509947459,-1.3540614247322083
delay_next_30d,days_since_project_start,3,150,90.0,90.0,90.0,0.2396919217705726,0.24237535893917078
delay_next_30d,days_since_project_start,4,150,120.0,120.0,120.0,0.2994826962550481,0.29605305194854736
delay_next_30d,days_since_project_start,5,150,150.0,150.0,150.0,0.29745528837045027,0.299517959356308
delay_next_30d,days_since_project_start,6,150,180.0,180.0,180.0,0.06745450117120826,0.06830060482025141
delay_next_30d,days_since_project_start,7,283,210.0,210.0,240.0,0.026750661505142694,0.0263392925262451
delay_next_30d,days_since_project_start,8,115,270.0,270.0,270.0,-0.03537684024271107,-0.0411316826939582
delay_next_30d,days_since_project_start,9,168,300.0,300.0,330.0,-0.031173641446955676,-0.024298038333654348
delay_next_30d,days_since_project_start,10,116,360.0,390.0,420.0,-0.6438306051081625,-0.63697350025177
