target,feature,decile,n,value_min,value_median,value_max,mean_shap,median_shap
delay_next_30d,docs_complete_pct,1,174,38.687,48.957,55.921,0.4138095863832525,0.43877752125263214
delay_next_30d,docs_complete_pct,2,173,55.991,61.649,67.832,0.23615484806369835,0.2223997414112091
delay_next_30d,docs_complete_pct,3,173,67.834,74.015,80.004,0.24369058536225657,0.23228719830513
delay_next_30d,docs_complete_pct,4,173,80.03,82.893,84.584,0.06308892977254386,0.0621741712093353
delay_next_30d,docs_complete_pct,5,173,84.585,86.657,88.87,-0.13141745333950103,-0.0993360131978988
delay_next_30d,docs_complete_pct,6,173,88.911,90.429,91.672,-0.29518164000931496,-0.2942748367786407
delay_next_30d,docs_complete_pct,7,173,91.699,93.092,94.6,-0.5998920127318773,-0.6068767309188843
delay_next_30d,docs_complete_pct,8,173,94.629,95.982,97.354,-0.6606743711267593,-0.6544488072395325
delay_next_30d,docs_complete_pct,9,173,97.385,98.772,99.907,-0.5574770008208435,-0.5468330979347229
delay_next_30d,docs_complete_pct,10,174,99.938,100.0,100.0,-0.6312376223076349,-0.6122298836708069
