target,feature,decile,n,value_min,value_median,value_max,mean_shap,median_shap
delay_next_30d,grievance_redressal_days,1,178,5.24,5.994,6.656,-0.49220816883143415,-0.4897559732198715
delay_next_30d,grievance_redressal_days,2,171,6.729,7.438,8.414,-0.039930857788622966,-0.0616593733429908
delay_next_30d,grievance_redressal_days,3,172,8.614,11.071,12.076,-0.07081777563702372,-0.07025898993015285
delay_next_30d,grievance_redressal_days,4,178,12.211,14.013,15.122,-0.15261059291817747,-0.1582245305180549
delay_next_30d,grievance_redressal_days,5,168,15.206,16.029,16.908,-0.23258323297791533,-0.23655231297016138
delay_next_30d,grievance_redressal_days,6,181,16.938,18.023,18.967,-0.235616500576886,-0.2380027323961258
delay_next_30d,grievance_redressal_days,7,174,19.174,20.166,21.283,-0.16119863643931842,-0.1673086956143379
delay_next_30d,grievance_redressal_days,8,175,21.359,22.267,23.272,-0.10277090238465458,-0.0981642752885818
delay_next_30d,grievance_redressal_days,9,162,23.398,24.524,26.917,-0.3324573171083574,-0.3779581636190414
delay_next_30d,grievance_redressal_days,10,173,27.054,47.324,58.805,0.23916881463915712,0.2479300200939178
