target,feature,decile,n,value_min,value_median,value_max,mean_shap,median_shap
delay_next_60d,file_pending_days,1,177,0.0,7.0,10.0,-0.2984305325537751,-0.2984696328639984
delay_next_60d,file_pending_days,2,190,11.0,14.0,17.0,-0.2756237139239123,-0.2740596830844879
delay_next_60d,file_pending_days,3,154,18.0,20.0,22.0,-0.17443116241461265,-0.16677947342395782
delay_next_60d,file_pending_days,4,183,23.0,26.0,28.0,-0.1708435802491473,-0.1656297445297241
delay_next_60d,file_pending_days,5,165,29.0,32.0,34.0,-0.13179854842848282,-0.1287538856267929
delay_next_60d,file_pending_days,6,180,35.0,37.0,40.0,-0.08097763630923709,-0.07090827822685239
delay_next_60d,file_pending_days,7,163,41.0,44.0,48.0,-0.06020700510454139,-0.0417921729385852
delay_next_60d,file_pending_days,8,173,49.0,54.0,65.0,0.014491957082073985,-0.0022876148577779
delay_next_60d,file_pending_days,9,173,66.0,86.0,106.0,0.1717181724840721,0.1649078875780105
delay_next_60d,file_pending_days,10,174,107.0,131.0,196.0,-0.13632047556918755,-0.08498342335224146
