n,trend,min_value,max_value,mean_shap,min_shap,max_shap,target,feature
1732,nonlinear_or_mixed,0.0,36.27,-0.0676557360061441,-0.822624683380127,0.6025515198707581,delay_next_30d,case_age_months
1732,nonlinear_or_mixed,0.0,264.0,-0.5222031218374813,-3.0073156356811523,0.6216253042221069,delay_next_30d,days_in_current_stage
1732,nonlinear_or_mixed,0.0,420.0,-0.3783679416923212,-2.119190454483032,0.4114396870136261,delay_next_30d,days_since_project_start
1732,nonlinear_or_mixed,0.0,53.042,-0.1835971575360386,-1.2387282848358154,0.3533197343349457,delay_next_30d,disbursal_pct
1732,mostly_decreasing_risk,38.687,100.0,-0.1918175416376429,-1.046612024307251,0.951171576976776,delay_next_30d,docs_complete_pct
1732,nonlinear_or_mixed,0.0,196.0,-0.14440833891450355,-0.8411281108856201,0.3013870120048523,delay_next_30d,file_pending_days
1732,nonlinear_or_mixed,5.24,58.805,-0.1582116019193391,-1.011723279953003,0.6628703474998474,delay_next_30d,grievance_redressal_days
1732,nonlinear_or_mixed,0.0,20.0,-0.07988275141490453,-0.3303684592247009,0.9849427938461304,delay_next_30d,grievances_30d
1732,nonlinear_or_mixed,0.6061559850927839,0.9981435848702168,-0.12695912758350064,-0.9358466267585754,0.1833244860172271,delay_next_30d,land_acquisition_ratio
1732,nonlinear_or_mixed,0.0,100.0,-0.10973181302148922,-1.1102688312530518,0.2770133316516876,delay_next_30d,rnr_progress_pct
1732,nonlinear_or_mixed,0.0,36.27,-0.031636223634616205,-0.4218403100967407,0.7408397197723389,delay_next_60d,case_age_months
1732,nonlinear_or_mixed,0.0,264.0,-0.34654413785542926,-3.571230411529541,0.6300845146179199,delay_next_60d,days_in_current_stage
1732,nonlinear_or_mixed,0.0,420.0,-0.2183892853345767,-1.3432022333145142,0.4288126826286316,delay_next_60d,days_since_project_start
1732,mostly_decreasing_risk,0.0,53.042,-0.19471067482053814,-1.6334164142608645,0.2908801138401031,delay_next_60d,disbursal_pct
1732,mostly_decreasing_risk,38.687,100.0,-0.08316910351620123,-0.6772496104240417,1.0011961460113523,delay_next_60d,docs_complete_pct
1732,mostly_increasing_risk,0.0,196.0,-0.11602735063366272,-0.8646985292434692,0.437669962644577,delay_next_60d,file_pending_days
1732,nonlinear_or_mixed,5.24,58.805,-0.16100094294069037,-0.8467692732810974,0.714992344379425,delay_next_60d,grievance_redressal_days
1732,nonlinear_or_mixed,0.0,20.0,-0.09107201004198669,-0.3824369311332702,0.68950355052948,delay_next_60d,grievances_30d
1732,nonlinear_or_mixed,0.6061559850927839,0.9981435848702168,-0.09249286203542482,-0.8371447920799255,0.2155915051698684,delay_next_60d,land_acquisition_ratio
1732,mostly_decreasing_risk,0.0,100.0,-0.0747098692334698,-0.8675103187561035,0.4833261370658874,delay_next_60d,rnr_progress_pct
1732,nonlinear_or_mixed,0.0,36.27,-0.025634280453862478,-0.4516447186470032,0.887462854385376,delay_next_90d,case_age_months
1732,mostly_decreasing_risk,0.0,264.0,-0.16119931877799618,-2.384198904037476,0.4565279483795166,delay_next_90d,days_in_current_stage
1732,nonlinear_or_mixed,0.0,420.0,-0.13719343310787638,-1.323908805847168,0.3319860696792602,delay_next_90d,days_since_project_start
1732,mostly_decreasing_risk,0.0,53.042,-0.19491461303160906,-1.5073931217193604,0.2892855405807495,delay_next_90d,disbursal_pct
1732,mostly_decreasing_risk,38.687,100.0,-0.0695225750701744,-0.6295592784881592,0.7565652132034302,delay_next_90d,docs_complete_pct
1732,mostly_increasing_risk,0.0,196.0,-0.1104073243591375,-0.6504913568496704,0.4679216742515564,delay_next_90d,file_pending_days
1732,nonlinear_or_mixed,5.24,58.805,-0.15206913027113064,-1.0287009477615356,0.6560254693031311,delay_next_90d,grievance_redressal_days
1732,nonlinear_or_mixed,0.0,20.0,-0.09137308805753706,-0.6007229685783386,0.7683219909667969,delay_next_90d,grievances_30d
1732,nonlinear_or_mixed,0.6061559850927839,0.9981435848702168,-0.10338618528024202,-1.0580599308013916,0.2671479880809784,delay_next_90d,land_acquisition_ratio
1732,mostly_decreasing_risk,0.0,100.0,-0.07671354583751702,-1.0341640710830688,0.4025017619132995,delay_next_90d,rnr_progress_pct
