target,rank,feature,display_feature,mean_abs_shap,mean_signed_shap,normalized_importance_pct
delay_next_30d,1,days_in_current_stage,days in current stage,0.76050216,-0.52220273,13.968401
delay_next_30d,2,days_since_project_start,days since project start,0.5534798,-0.3783679,10.165951
delay_next_30d,3,current_stage_3D,Current stage: 3D,0.45899466,-0.18788995,8.43051
delay_next_30d,4,docs_complete_pct,docs complete pct,0.38956398,-0.19181743,7.155253
delay_next_30d,5,disbursal_pct,disbursal pct,0.23614676,-0.18359731,4.3373876
delay_next_30d,6,grievance_redressal_days,grievance redressal days,0.21980989,-0.15821166,4.0373225
delay_next_30d,7,file_pending_days,file pending days,0.19046226,-0.14440826,3.4982848
delay_next_30d,8,case_age_months,case age months,0.1791938,-0.0676557,3.291313
delay_next_30d,9,compensation_awarded_cr,compensation awarded cr,0.16989756,-0.038446058,3.120566
delay_next_30d,10,land_acquisition_ratio,land acquisition ratio,0.16417626,-0.12695912,3.0154808
delay_next_30d,11,grievances_30d,grievances 30d,0.16126,-0.07988269,2.961917
delay_next_30d,12,proximity_km_to_urban,proximity km to urban,0.15694843,-0.08008386,2.882725
delay_next_30d,13,compensation_pending_cr,compensation pending cr,0.14867993,-0.103095576,2.7308545
delay_next_30d,14,compensation_disbursed_cr,compensation disbursed cr,0.13335499,-0.08355688,2.4493763
delay_next_30d,15,rnr_progress_pct,rnr progress pct,0.12931927,-0.10973181,2.3752506
delay_next_30d,16,pending_approvals_count,pending approvals count,0.11566573,-0.052762374,2.1244717
delay_next_30d,17,vulnerable_family_share,vulnerable family share,0.10738783,-0.08775666,1.9724287
delay_next_30d,18,land_required_ha,land required ha,0.103465855,-0.057142925,1.9003924
delay_next_30d,19,docs_remaining_pct,docs remaining pct,0.09900039,-0.0018282683,1.8183736
delay_next_30d,20,affected_families,affected families,0.09844247,-0.09527657,1.8081262
delay_next_30d,21,affected_family_per_parcel,affected family per parcel,0.097418144,-0.088589065,1.7893121
delay_next_30d,22,total_parcels,total parcels,0.09483146,-0.05484448,1.7418016
delay_next_30d,23,rnr_consent_pct,rnr consent pct,0.087216645,-0.074551925,1.6019377
delay_next_30d,24,land_to_acquire_ha,land to acquire ha,0.08492,-0.07419671,1.5597543
delay_next_30d,25,approval_dept_District Administration,approval dept District Administration,0.060254354,-0.012431197,1.1067121
delay_next_30d,26,vulnerable_families,vulnerable families,0.054772463,-0.029210107,1.0060244
delay_next_30d,27,title_disputes_parcels,title disputes parcels,0.054051325,-0.01855101,0.99277896
delay_next_30d,28,rnr_remaining_pct,rnr remaining pct,0.047013875,-0.013092734,0.8635198
delay_next_30d,29,terrain_type_Rolling,terrain type Rolling,0.041377228,-0.0011476817,0.75998956
delay_next_30d,30,terrain_type_Hilly,Terrain: Hilly,0.035893176,-0.004904732,0.6592621
delay_next_30d,31,approval_dept_Environment,Approval department: Environment,0.03337416,-0.014802619,0.6129945
delay_next_30d,32,current_stage_3A,Current stage: 3A,0.030802872,-0.010245778,0.56576675
delay_next_30d,33,approval_dept_Forest,approval dept Forest,0.030413816,-0.0065212846,0.5586208
delay_next_30d,34,court_cases_count,court cases count,0.024691885,-0.0034482875,0.4535242
delay_next_30d,35,approval_dept_Revenue,Approval department: Revenue,0.018656638,-0.009691866,0.34267277
delay_next_30d,36,approval_dept_PWD,approval dept PWD,0.014734137,-0.008867362,0.27062687
delay_next_30d,37,urban_rural_Rural,Setting: Rural,0.012975954,-0.0030664175,0.23833373
delay_next_30d,38,forest_involved,forest involved,0.010576657,-0.0035349464,0.19426504
