target,rank,feature,display_feature,normalized_importance_pct
delay_next_30d,1,days_in_current_stage,days in current stage,13.968401
delay_next_30d,2,days_since_project_start,days since project start,10.165951
delay_next_30d,3,current_stage_3D,Current stage: 3D,8.43051
delay_next_30d,4,docs_complete_pct,docs complete pct,7.155253
delay_next_30d,5,disbursal_pct,disbursal pct,4.3373876
delay_next_30d,6,grievance_redressal_days,grievance redressal days,4.0373225
delay_next_30d,7,file_pending_days,file pending days,3.4982848
delay_next_30d,8,case_age_months,case age months,3.291313
delay_next_30d,9,compensation_awarded_cr,compensation awarded cr,3.120566
delay_next_30d,10,land_acquisition_ratio,land acquisition ratio,3.0154808
delay_next_30d,11,grievances_30d,grievances 30d,2.961917
delay_next_30d,12,proximity_km_to_urban,proximity km to urban,2.882725
delay_next_30d,13,compensation_pending_cr,compensation pending cr,2.7308545
delay_next_30d,14,compensation_disbursed_cr,compensation disbursed cr,2.4493763
delay_next_30d,15,rnr_progress_pct,rnr progress pct,2.3752506
delay_next_30d,16,pending_approvals_count,pending approvals count,2.1244717
delay_next_30d,17,vulnerable_family_share,vulnerable family share,1.9724287
delay_next_30d,18,land_required_ha,land required ha,1.9003924
delay_next_30d,19,docs_remaining_pct,docs remaining pct,1.8183736
delay_next_30d,20,affected_families,affected families,1.8081262
delay_next_30d,21,affected_family_per_parcel,affected family per parcel,1.7893121
delay_next_30d,22,total_parcels,total parcels,1.7418016
delay_next_30d,23,rnr_consent_pct,rnr consent pct,1.6019377
delay_next_30d,24,land_to_acquire_ha,land to acquire ha,1.5597543
delay_next_30d,25,approval_dept_District Administration,approval dept District Administration,1.1067121
delay_next_30d,26,vulnerable_families,vulnerable families,1.0060244
delay_next_30d,27,title_disputes_parcels,title disputes parcels,0.99277896
delay_next_30d,28,rnr_remaining_pct,rnr remaining pct,0.8635198
delay_next_30d,29,terrain_type_Rolling,terrain type Rolling,0.75998956
delay_next_30d,30,terrain_type_Hilly,Terrain: Hilly,0.6592621
delay_next_30d,31,approval_dept_Environment,Approval department: Environment,0.6129945
delay_next_30d,32,current_stage_3A,Current stage: 3A,0.56576675
delay_next_30d,33,approval_dept_Forest,approval dept Forest,0.5586208
delay_next_30d,34,court_cases_count,court cases count,0.4535242
delay_next_30d,35,approval_dept_Revenue,Approval department: Revenue,0.34267277
delay_next_30d,36,approval_dept_PWD,approval dept PWD,0.27062687
