target,project_id,snapshot_id,snapshot_date,current_stage,raw_xgboost_probability,calibrated_probability,direction,driver_rank,feature,display_feature,feature_value,shap_value
delay_next_30d,SYN-00001,SYN-00001_S01,2025-06-12,3a,0.003055983,0.0042069961959101294,risk_increasing,1,terrain_type_Hilly,Terrain: Hilly,1.0,0.11467475444078445
delay_next_30d,SYN-00001,SYN-00001_S01,2025-06-12,3a,0.003055983,0.0042069961959101294,risk_increasing,2,current_stage_3D,Current stage: 3D,0.0,0.0897960439324379
delay_next_30d,SYN-00001,SYN-00001_S01,2025-06-12,3a,0.003055983,0.0042069961959101294,risk_increasing,3,compensation_awarded_cr,compensation awarded cr,2.3208,0.08677650988101959
delay_next_30d,SYN-00001,SYN-00001_S01,2025-06-12,3a,0.003055983,0.0042069961959101294,risk_increasing,4,proximity_km_to_urban,proximity km to urban,59.044,0.06450191140174866
delay_next_30d,SYN-00001,SYN-00001_S01,2025-06-12,3a,0.003055983,0.0042069961959101294,risk_increasing,5,total_parcels,total parcels,146.0,0.06441499292850494
delay_next_30d,SYN-00001,SYN-00001_S01,2025-06-12,3a,0.003055983,0.0042069961959101294,risk_reducing,1,days_in_current_stage,days in current stage,0.0,-2.4179959297180176
delay_next_30d,SYN-00001,SYN-00001_S01,2025-06-12,3a,0.003055983,0.0042069961959101294,risk_reducing,2,days_since_project_start,days since project start,0.0,-1.5346883535385132
delay_next_30d,SYN-00001,SYN-00001_S01,2025-06-12,3a,0.003055983,0.0042069961959101294,risk_reducing,3,file_pending_days,file pending days,19.0,-0.6277969479560852
delay_next_30d,SYN-00001,SYN-00001_S01,2025-06-12,3a,0.003055983,0.0042069961959101294,risk_reducing,4,docs_complete_pct,docs complete pct,93.003,-0.5833899974822998
delay_next_30d,SYN-00001,SYN-00001_S01,2025-06-12,3a,0.003055983,0.0042069961959101294,risk_reducing,5,grievance_redressal_days,grievance redressal days,20.166,-0.21723447740077972
delay_next_30d,SYN-00001,SYN-00001_S02,2025-07-12,3a,0.0066295494,0.006209200033048195,risk_increasing,1,compensation_awarded_cr,compensation awarded cr,3.2677,0.2372048944234848
delay_next_30d,SYN-00001,SYN-00001_S02,2025-07-12,3a,0.0066295494,0.006209200033048195,risk_increasing,2,terrain_type_Hilly,Terrain: Hilly,1.0,0.11724760383367538
delay_next_30d,SYN-00001,SYN-00001_S02,2025-07-12,3a,0.0066295494,0.006209200033048195,risk_increasing,3,current_stage_3D,Current stage: 3D,0.0,0.0896574854850769
delay_next_30d,SYN-00001,SYN-00001_S02,2025-07-12,3a,0.0066295494,0.006209200033048195,risk_increasing,4,docs_remaining_pct,docs remaining pct,4.079999999999998,0.07675358653068542
delay_next_30d,SYN-00001,SYN-00001_S02,2025-07-12,3a,0.0066295494,0.006209200033048195,risk_increasing,5,total_parcels,total parcels,146.0,0.06310208141803741
delay_next_30d,SYN-00001,SYN-00001_S02,2025-07-12,3a,0.0066295494,0.006209200033048195,risk_reducing,1,days_in_current_stage,days in current stage,30.0,-2.4043171405792236
delay_next_30d,SYN-00001,SYN-00001_S02,2025-07-12,3a,0.0066295494,0.006209200033048195,risk_reducing,2,days_since_project_start,days since project start,30.0,-1.5436525344848633
delay_next_30d,SYN-00001,SYN-00001_S02,2025-07-12,3a,0.0066295494,0.006209200033048195,risk_reducing,3,docs_complete_pct,docs complete pct,95.92,-0.5555711388587952
delay_next_30d,SYN-00001,SYN-00001_S02,2025-07-12,3a,0.0066295494,0.006209200033048195,risk_reducing,4,grievance_redressal_days,grievance redressal days,20.166,-0.2215668261051178
delay_next_30d,SYN-00001,SYN-00001_S02,2025-07-12,3a,0.0066295494,0.006209200033048195,risk_reducing,5,file_pending_days,file pending days,21.0,-0.16506808996200562
delay_next_30d,SYN-00001,SYN-00001_S03,2025-08-11,3a,0.06027067,0.019125056555401504,risk_increasing,1,days_in_current_stage,days in current stage,60.0,0.29916343092918396
delay_next_30d,SYN-00001,SYN-00001_S03,2025-08-11,3a,0.06027067,0.019125056555401504,risk_increasing,2,current_stage_3D,Current stage: 3D,0.0,0.16716748476028442
delay_next_30d,SYN-00001,SYN-00001_S03,2025-08-11,3a,0.06027067,0.019125056555401504,risk_increasing,3,proximity_km_to_urban,proximity km to urban,59.044,0.08868519216775894
delay_next_30d,SYN-00001,SYN-00001_S03,2025-08-11,3a,0.06027067,0.019125056555401504,risk_increasing,4,compensation_awarded_cr,compensation awarded cr,2.2676,0.07500619441270828
delay_next_30d,SYN-00001,SYN-00001_S03,2025-08-11,3a,0.06027067,0.019125056555401504,risk_increasing,5,compensation_pending_cr,compensation pending cr,2.2676,0.06933669745922089
delay_next_30d,SYN-00001,SYN-00001_S03,2025-08-11,3a,0.06027067,0.019125056555401504,risk_reducing,1,days_since_project_start,days since project start,60.0,-1.1312384605407715
delay_next_30d,SYN-00001,SYN-00001_S03,2025-08-11,3a,0.06027067,0.019125056555401504,risk_reducing,2,docs_complete_pct,docs complete pct,95.219,-0.8379638195037842
delay_next_30d,SYN-00001,SYN-00001_S03,2025-08-11,3a,0.06027067,0.019125056555401504,risk_reducing,3,approval_dept_District Administration,approval dept District Administration,1.0,-0.3164501190185547
delay_next_30d,SYN-00001,SYN-00001_S03,2025-08-11,3a,0.06027067,0.019125056555401504,risk_reducing,4,grievance_redressal_days,grievance redressal days,20.166,-0.24216777086257935
delay_next_30d,SYN-00001,SYN-00001_S03,2025-08-11,3a,0.06027067,0.019125056555401504,risk_reducing,5,vulnerable_family_share,vulnerable family share,0.1034482758620689,-0.2264895886182785
delay_next_30d,SYN-00001,SYN-00001_S04,2025-09-10,3a,0.3719731,0.05628313030714751,risk_increasing,1,days_since_project_start,days since project start,90.0,0.24040618538856506
delay_next_30d,SYN-00001,SYN-00001_S04,2025-09-10,3a,0.3719731,0.05628313030714751,risk_increasing,2,days_in_current_stage,days in current stage,90.0,0.2175922989845276
delay_next_30d,SYN-00001,SYN-00001_S04,2025-09-10,3a,0.3719731,0.05628313030714751,risk_increasing,3,current_stage_3D,Current stage: 3D,0.0,0.17240869998931885
delay_next_30d,SYN-00001,SYN-00001_S04,2025-09-10,3a,0.3719731,0.05628313030714751,risk_increasing,4,compensation_awarded_cr,compensation awarded cr,1.4348,0.16164760291576385
delay_next_30d,SYN-00001,SYN-00001_S04,2025-09-10,3a,0.3719731,0.05628313030714751,risk_increasing,5,docs_remaining_pct,docs remaining pct,2.6069999999999998,0.07557173073291779
delay_next_30d,SYN-00001,SYN-00001_S04,2025-09-10,3a,0.3719731,0.05628313030714751,risk_reducing,1,docs_complete_pct,docs complete pct,97.393,-0.7602212429046631
delay_next_30d,SYN-00001,SYN-00001_S04,2025-09-10,3a,0.3719731,0.05628313030714751,risk_reducing,2,case_age_months,case age months,2.957,-0.2949012517929077
delay_next_30d,SYN-00001,SYN-00001_S04,2025-09-10,3a,0.3719731,0.05628313030714751,risk_reducing,3,grievances_30d,grievances 30d,3.0,-0.201827734708786
delay_next_30d,SYN-00001,SYN-00001_S04,2025-09-10,3a,0.3719731,0.05628313030714751,risk_reducing,4,grievance_redressal_days,grievance redressal days,20.166,-0.20171743631362915
delay_next_30d,SYN-00001,SYN-00001_S04,2025-09-10,3a,0.3719731,0.05628313030714751,risk_reducing,5,rnr_progress_pct,rnr progress pct,0.0,-0.1285153329372406
delay_next_30d,SYN-00001,SYN-00001_S05,2025-10-10,3a,0.22057652,0.03951066266148223,risk_increasing,1,days_since_project_start,days since project start,120.0,0.28533267974853516
delay_next_30d,SYN-00001,SYN-00001_S05,2025-10-10,3a,0.22057652,0.03951066266148223,risk_increasing,2,current_stage_3D,Current stage: 3D,0.0,0.22551119327545166
delay_next_30d,SYN-00001,SYN-00001_S05,2025-10-10,3a,0.22057652,0.03951066266148223,risk_increasing,3,days_in_current_stage,days in current stage,120.0,0.1165456548333168
delay_next_30d,SYN-00001,SYN-00001_S05,2025-10-10,3a,0.22057652,0.03951066266148223,risk_increasing,4,compensation_pending_cr,compensation pending cr,2.1997,0.10373687744140625
delay_next_30d,SYN-00001,SYN-00001_S05,2025-10-10,3a,0.22057652,0.03951066266148223,risk_increasing,5,land_acquisition_ratio,land acquisition ratio,0.791091432729658,0.0787704735994339
delay_next_30d,SYN-00001,SYN-00001_S05,2025-10-10,3a,0.22057652,0.03951066266148223,risk_reducing,1,docs_complete_pct,docs complete pct,97.162,-0.7851545810699463
delay_next_30d,SYN-00001,SYN-00001_S05,2025-10-10,3a,0.22057652,0.03951066266148223,risk_reducing,2,approval_dept_District Administration,approval dept District Administration,1.0,-0.3176880180835724
delay_next_30d,SYN-00001,SYN-00001_S05,2025-10-10,3a,0.22057652,0.03951066266148223,risk_reducing,3,case_age_months,case age months,3.942,-0.25749823451042175
delay_next_30d,SYN-00001,SYN-00001_S05,2025-10-10,3a,0.22057652,0.03951066266148223,risk_reducing,4,grievances_30d,grievances 30d,3.0,-0.22521649301052094
delay_next_30d,SYN-00001,SYN-00001_S05,2025-10-10,3a,0.22057652,0.03951066266148223,risk_reducing,5,grievance_redressal_days,grievance redressal days,20.166,-0.22027406096458435
delay_next_30d,SYN-00001,SYN-00001_S06,2025-11-09,3A,0.26237723,0.04411359107825056,risk_increasing,1,days_since_project_start,days since project start,150.0,0.28211310505867004
delay_next_30d,SYN-00001,SYN-00001_S06,2025-11-09,3A,0.26237723,0.04411359107825056,risk_increasing,2,compensation_awarded_cr,compensation awarded cr,0.6693,0.26243147253990173
delay_next_30d,SYN-00001,SYN-00001_S06,2025-11-09,3A,0.26237723,0.04411359107825056,risk_increasing,3,days_in_current_stage,days in current stage,53.0,0.24946647882461548
delay_next_30d,SYN-00001,SYN-00001_S06,2025-11-09,3A,0.26237723,0.04411359107825056,risk_increasing,4,current_stage_3D,Current stage: 3D,0.0,0.20539826154708862
delay_next_30d,SYN-00001,SYN-00001_S06,2025-11-09,3A,0.26237723,0.04411359107825056,risk_increasing,5,docs_remaining_pct,docs remaining pct,0.0,0.17965136468410492
delay_next_30d,SYN-00001,SYN-00001_S06,2025-11-09,3A,0.26237723,0.04411359107825056,risk_reducing,1,docs_complete_pct,docs complete pct,100.0,-0.9426657557487488
delay_next_30d,SYN-00001,SYN-00001_S06,2025-11-09,3A,0.26237723,0.04411359107825056,risk_reducing,2,approval_dept_District Administration,approval dept District Administration,1.0,-0.307827353477478
delay_next_30d,SYN-00001,SYN-00001_S06,2025-11-09,3A,0.26237723,0.04411359107825056,risk_reducing,3,compensation_pending_cr,compensation pending cr,0.6683,-0.2699428200721741
delay_next_30d,SYN-00001,SYN-00001_S06,2025-11-09,3A,0.26237723,0.04411359107825056,risk_reducing,4,case_age_months,case age months,4.928,-0.20813970267772675
delay_next_30d,SYN-00001,SYN-00001_S06,2025-11-09,3A,0.26237723,0.04411359107825056,risk_reducing,5,grievance_redressal_days,grievance redressal days,20.166,-0.17570267617702484
delay_next_30d,SYN-00001,SYN-00001_S07,2025-12-09,3A,0.29862764,0.0480880085553193,risk_increasing,1,days_in_current_stage,days in current stage,83.0,0.27531784772872925
delay_next_30d,SYN-00001,SYN-00001_S07,2025-12-09,3A,0.29862764,0.0480880085553193,risk_increasing,2,current_stage_3D,Current stage: 3D,0.0,0.2010643482208252
delay_next_30d,SYN-00001,SYN-00001_S07,2025-12-09,3A,0.29862764,0.0480880085553193,risk_increasing,3,terrain_type_Hilly,Terrain: Hilly,1.0,0.16101282835006714
delay_next_30d,SYN-00001,SYN-00001_S07,2025-12-09,3A,0.29862764,0.0480880085553193,risk_increasing,4,docs_remaining_pct,docs remaining pct,0.0,0.15579427778720856
delay_next_30d,SYN-00001,SYN-00001_S07,2025-12-09,3A,0.29862764,0.0480880085553193,risk_increasing,5,compensation_disbursed_cr,compensation disbursed cr,0.109,0.07087929546833038
delay_next_30d,SYN-00001,SYN-00001_S07,2025-12-09,3A,0.29862764,0.0480880085553193,risk_reducing,1,docs_complete_pct,docs complete pct,100.0,-0.8521171808242798
delay_next_30d,SYN-00001,SYN-00001_S07,2025-12-09,3A,0.29862764,0.0480880085553193,risk_reducing,2,grievance_redressal_days,grievance redressal days,20.166,-0.2460978627204895
delay_next_30d,SYN-00001,SYN-00001_S07,2025-12-09,3A,0.29862764,0.0480880085553193,risk_reducing,3,pending_approvals_count,pending approvals count,2.0,-0.22878780961036682
delay_next_30d,SYN-00001,SYN-00001_S07,2025-12-09,3A,0.29862764,0.0480880085553193,risk_reducing,4,case_age_months,case age months,5.913,-0.22633588314056396
delay_next_30d,SYN-00001,SYN-00001_S07,2025-12-09,3A,0.29862764,0.0480880085553193,risk_reducing,5,grievances_30d,grievances 30d,4.0,-0.16815604269504547
delay_next_30d,SYN-00001,SYN-00001_S08,2026-01-08,3A,0.18174605,0.03513774985359543,risk_increasing,1,docs_remaining_pct,docs remaining pct,0.0,0.21112021803855896
delay_next_30d,SYN-00001,SYN-00001_S08,2026-01-08,3A,0.18174605,0.03513774985359543,risk_increasing,2,current_stage_3D,Current stage: 3D,0.0,0.19503137469291687
delay_next_30d,SYN-00001,SYN-00001_S08,2026-01-08,3A,0.18174605,0.03513774985359543,risk_increasing,3,days_in_current_stage,days in current stage,113.0,0.07192439585924149
delay_next_30d,SYN-00001,SYN-00001_S08,2026-01-08,3A,0.18174605,0.03513774985359543,risk_increasing,4,land_acquisition_ratio,land acquisition ratio,0.791091432729658,0.06969970464706421
delay_next_30d,SYN-00001,SYN-00001_S08,2026-01-08,3A,0.18174605,0.03513774985359543,risk_increasing,5,terrain_type_Hilly,Terrain: Hilly,1.0,0.06418032944202423
delay_next_30d,SYN-00001,SYN-00001_S08,2026-01-08,3A,0.18174605,0.03513774985359543,risk_reducing,1,docs_complete_pct,docs complete pct,100.0,-0.813702404499054
delay_next_30d,SYN-00001,SYN-00001_S08,2026-01-08,3A,0.18174605,0.03513774985359543,risk_reducing,2,approval_dept_District Administration,approval dept District Administration,1.0,-0.29329344630241394
