snapshot_id,project_id,snapshot_date,project_start_date,current_stage,stage_entry_date,days_in_current_stage,days_since_project_start,event_count_so_far,land_required_ha,land_to_acquire_ha,total_parcels,affected_families,vulnerable_families,pending_approvals_count,approval_dept,file_pending_days,docs_complete_pct,court_cases_count,case_age_months,title_disputes_parcels,grievances_30d,compensation_awarded_cr,compensation_disbursed_cr,disbursal_pct,rnr_progress_pct,rnr_consent_pct,grievance_redressal_days,terrain_type,urban_rural,forest_involved,proximity_km_to_urban,delay_next_30d,delay_next_60d,delay_next_90d,is_censored
SYN-00001_S01,SYN-00001,2025-06-12,2025-06-12,3a,2025-06-12,0,0,1,9.7569,7.7186,146,58,6,2,PWD,19,93.003,1,0.0,2,1,2.3208,0.0,0.0,0.0,78.177,20.166,Hilly,Rural,0,59.044,0,0,0,0
SYN-00001_S02,SYN-00001,2025-07-12,2025-06-12,3a,2025-06-12,30,30,2,9.7569,7.7186,146,58,6,2,PWD,21,95.92,1,0.986,2,2,3.2677,0.0,0.0,0.0,78.177,20.166,Hilly,Rural,0,59.044,0,0,0,0
SYN-00001_S03,SYN-00001,2025-08-11,2025-06-12,3a,2025-06-12,60,60,3,9.7569,7.7186,146,58,6,3,District Administration,29,95.219,1,1.971,2,2,2.2676,0.0,0.0,0.0,78.177,20.166,Hilly,Rural,0,59.044,0,0,0,0
SYN-00001_S04,SYN-00001,2025-09-10,2025-06-12,3a,2025-06-12,90,90,4,9.7569,7.7186,146,58,6,3,Environment,26,97.393,1,2.957,2,3,1.4348,0.0,0.0,0.0,78.177,20.166,Hilly,Rural,0,59.044,0,0,0,0
SYN-00001_S05,SYN-00001,2025-10-10,2025-06-12,3a,2025-06-12,120,120,5,9.7569,7.7186,146,58,6,3,District Administration,28,97.162,1,3.942,2,3,2.1997,0.0,0.0,0.0,78.177,20.166,Hilly,Rural,0,59.044,0,0,0,0
SYN-00001_S06,SYN-00001,2025-11-09,2025-06-12,3A,2025-09-17,53,150,6,9.7569,7.7186,146,58,6,3,District Administration,35,100.0,1,4.928,2,3,0.6693,0.001,0.156,2.297,78.177,20.166,Hilly,Rural,0,59.044,0,0,0,0
SYN-00001_S07,SYN-00001,2025-12-09,2025-06-12,3A,2025-09-17,83,180,7,9.7569,7.7186,146,58,6,2,Forest,39,100.0,1,5.913,2,4,1.9323,0.109,5.64,3.257,78.177,20.166,Hilly,Rural,0,59.044,0,0,0,0
SYN-00001_S08,SYN-00001,2026-01-08,2025-06-12,3A,2025-09-17,113,210,8,9.7569,7.7186,146,58,6,2,District Administration,44,100.0,1,6.899,2,4,1.9993,0.1979,9.9,8.88,78.177,20.166,Hilly,Rural,0,59.044,0,0,0,0
SYN-00001_S09,SYN-00001,2026-02-07,2025-06-12,3A,2025-09-17,143,240,9,9.7569,7.7186,146,58,6,2,Revenue,46,100.0,1,7.884,2,5,2.1327,0.2707,12.693,12.323,78.177,20.166,Hilly,Rural,0,59.044,0,0,0,0
SYN-00001_S10,SYN-00001,2026-03-09,2025-06-12,3D,2025-12-04,95,270,10,9.7569,7.7186,146,58,6,2,Revenue,44,100.0,1,8.87,2,4,2.0429,0.391,19.138,18.36,78.177,20.166,Hilly,Rural,0,59.044,0,0,0,0
